host_t,ms,pitch,roll,yaw,gx,gy,gz,ax,ay,az,kpa,ldeg,rdeg,ldps,rdps,cmd_l,cmd_r
1790077069.06029,131199.0,56.494,15.191,166.039,0.452,0.668,-2.151,-0.851,0.163,0.528,100.933,-36.228,34.2,0.0,0.0,0.0,0.0
1790077069.070912,131204.0,56.524,15.139,165.989,0.205,0.77,-2.206,-0.85,0.156,0.531,100.933,-36.228,34.188,-0.1,-0.1,0.0,0.0
1790077069.0709991,131209.0,56.539,15.111,165.962,0.095,0.831,-2.168,-0.85,0.152,0.533,100.933,-36.216,34.2,0.1,0.0,0.0,0.0
1790077069.0763881,131215.0,56.539,15.111,165.962,0.095,0.831,-2.168,-0.85,0.152,0.533,100.933,-36.228,34.188,-0.2,-0.1,0.0,0.0
1790077069.088685,131220.0,56.553,15.081,165.935,0.011,0.873,-2.135,-0.851,0.15,0.535,100.933,-36.228,34.2,0.0,0.1,0.0,0.0
1790077069.088778,131226.0,56.584,15.019,165.879,-0.113,1.008,-2.086,-0.853,0.144,0.538,100.933,-36.228,34.188,0.0,0.0,0.0,0.0
1790077069.093785,131232.0,56.599,14.986,165.851,-0.188,1.035,-2.043,-0.854,0.142,0.538,100.933,-36.216,34.2,0.2,0.0,0.0,0.0
1790077069.100672,131238.0,56.615,14.952,165.822,-0.3,1.067,-1.965,-0.855,0.14,0.539,100.933,-36.228,34.2,-0.1,0.1,0.0,0.0
1790077069.105943,131244.0,56.647,14.885,165.766,-0.426,1.171,-1.742,-0.858,0.135,0.539,100.933,-36.216,34.2,0.0,0.1,0.0,0.0
1790077069.111001,131249.0,56.664,14.851,165.739,-0.46,1.185,-1.602,-0.859,0.133,0.54,100.933,-36.228,34.188,0.0,-0.2,0.0,0.0
1790077069.1214468,131255.0,56.68,14.817,165.713,-0.491,1.24,-1.455,-0.86,0.131,0.54,100.933,-36.216,34.2,0.0,0.1,0.0,0.0
1790077069.122356,131261.0,56.696,14.784,165.687,-0.528,1.301,-1.299,-0.861,0.128,0.541,100.933,-36.228,34.188,0.0,-0.2,0.0,0.0
1790077069.127361,131266.0,56.713,14.751,165.663,-0.517,1.377,-1.123,-0.861,0.126,0.541,100.933,-36.228,34.2,-0.1,0.0,0.0,0.0
