host_t,ms,pitch,roll,yaw,gx,gy,gz,ax,ay,az,kpa,ldeg,rdeg,ldps,rdps,cmd_l,cmd_r
1790064449.745631,2280370.0,66.564,4.488,123.152,-9.574,6.247,5.08,-0.899,0.094,0.418,100.758,-41.064,53.1,-0.1,0.0,0.0,0.0
1790064449.7508008,2280376.0,66.59,4.508,123.22,-9.428,6.589,4.878,-0.901,0.093,0.413,100.758,-41.052,53.1,0.0,-0.1,0.0,0.0
1790064449.75695,2280382.0,66.647,4.545,123.349,-9.107,7.166,4.331,-0.904,0.096,0.408,100.758,-41.052,53.1,0.0,0.0,0.0,0.0
1790064449.7632692,2280388.0,66.678,4.561,123.41,-8.926,7.452,4.017,-0.905,0.099,0.409,100.758,-41.064,53.1,0.0,-0.1,0.0,0.0
1790064449.7686799,2280394.0,66.711,4.577,123.469,-8.728,7.739,3.709,-0.905,0.101,0.41,100.758,-41.052,53.1,0.2,0.1,0.0,0.0
1790064449.7747,2280399.0,66.743,4.591,123.525,-8.519,8.034,3.387,-0.905,0.104,0.413,100.758,-41.064,53.1,-0.1,0.0,0.0,0.0
1790064449.780034,2280405.0,66.777,4.605,123.579,-8.343,8.359,3.005,-0.904,0.108,0.417,100.758,-41.064,53.1,0.0,0.1,0.0,0.0
1790064449.785054,2280410.0,66.812,4.616,123.629,-8.131,8.709,2.588,-0.903,0.111,0.421,100.758,-41.052,53.1,0.0,0.0,0.0,0.0
1790064449.790782,2280415.0,66.847,4.627,123.677,-7.887,9.06,2.196,-0.902,0.115,0.424,100.758,-41.052,53.1,0.0,-0.1,0.0,0.0
1790064449.795867,2280421.0,66.883,4.635,123.721,-7.652,9.412,1.778,-0.901,0.118,0.426,100.759,-41.052,53.1,0.4,0.0,0.0,0.0
1790064449.801936,2280427.0,66.961,4.645,123.796,-7.228,10.107,0.9,-0.902,0.121,0.429,100.759,-41.052,53.1,0.0,0.0,0.0,0.0
1790064449.8082979,2280433.0,67.002,4.643,123.825,-7.081,10.462,0.443,-0.904,0.121,0.429,100.759,-41.064,53.1,-0.1,0.0,0.0,0.0
1790064449.813616,2280439.0,67.045,4.636,123.849,-6.915,10.782,0.014,-0.905,0.119,0.428,100.759,-41.052,53.1,0.0,0.0,0.0,0.0
1790064449.820472,2280445.0,67.09,4.624,123.865,-6.714,11.067,-0.394,-0.906,0.116,0.426,100.759,-41.052,53.1,0.0,-0.1,0.0,0.0
