host_t,ms,pitch,roll,yaw,gx,gy,gz,ax,ay,az,kpa,ldeg,rdeg,ldps,rdps,cmd_l,cmd_r
1790064470.081114,2300706.0,70.055,-9.129,118.102,-8.428,-5.448,16.459,-0.959,-0.059,0.333,100.762,-52.14,54.852,0.3,0.0,0.0,0.0
1790064470.0869498,2300712.0,70.025,-8.813,118.524,-7.791,-5.772,16.232,-0.961,-0.06,0.338,100.762,-52.152,54.852,-0.1,0.0,0.0,0.0
1790064470.091969,2300717.0,70.006,-8.654,118.732,-7.211,-5.997,16.087,-0.961,-0.06,0.342,100.762,-52.152,54.852,-0.1,-0.3,0.0,0.0
1790064470.0972228,2300722.0,69.985,-8.494,118.939,-6.591,-6.182,15.949,-0.96,-0.059,0.347,100.762,-52.152,54.852,0.0,-0.2,0.0,0.0
1790064470.103008,2300728.0,69.963,-8.331,119.145,-5.916,-6.405,15.81,-0.961,-0.056,0.35,100.762,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.1096342,2300734.0,69.938,-8.165,119.35,-5.219,-6.662,15.641,-0.961,-0.053,0.354,100.762,-52.152,54.864,0.0,0.3,0.0,0.0
1790064470.114588,2300739.0,69.912,-7.996,119.553,-4.501,-6.892,15.454,-0.961,-0.05,0.357,100.762,-52.152,54.852,0.1,0.0,0.0,0.0
1790064470.1201332,2300745.0,69.884,-7.826,119.755,-3.791,-7.06,15.255,-0.962,-0.048,0.361,100.762,-52.152,54.852,-0.1,0.1,0.0,0.0
1790064470.125262,2300750.0,69.854,-7.654,119.954,-3.138,-7.187,15.037,-0.962,-0.046,0.364,100.762,-52.152,54.864,0.0,0.2,0.0,0.0
1790064470.130292,2300755.0,69.824,-7.482,120.151,-2.494,-7.276,14.836,-0.963,-0.044,0.367,100.762,-52.152,54.852,-0.1,-0.3,0.0,0.0
1790064470.1358569,2300761.0,69.792,-7.308,120.345,-1.852,-7.293,14.663,-0.963,-0.041,0.37,100.762,-52.152,54.852,0.2,0.0,0.0,0.0
1790064470.140789,2300766.0,69.76,-7.134,120.537,-1.204,-7.318,14.501,-0.963,-0.039,0.373,100.762,-52.152,54.852,-0.1,0.1,0.0,0.0
1790064470.145803,2300771.0,69.727,-6.958,120.727,-0.554,-7.323,14.347,-0.962,-0.038,0.375,100.762,-52.152,54.852,0.1,0.1,0.0,0.0
1790064470.151905,2300777.0,69.661,-6.608,121.096,0.645,-7.184,13.867,-0.96,-0.035,0.378,100.762,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.157241,2300782.0,69.627,-6.436,121.273,1.201,-7.056,13.592,-0.956,-0.035,0.379,100.762,-52.152,54.852,0.1,0.0,0.0,0.0
1790064470.163048,2300788.0,69.595,-6.266,121.444,1.779,-6.762,13.286,-0.952,-0.034,0.38,100.762,-52.152,54.852,-0.1,0.1,0.0,0.0
1790064470.1680791,2300793.0,69.563,-6.1,121.608,2.409,-6.452,12.933,-0.95,-0.034,0.381,100.762,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.174617,2300799.0,69.531,-5.937,121.766,3.053,-6.282,12.531,-0.948,-0.034,0.381,100.762,-52.152,54.864,0.3,0.1,0.0,0.0
1790064470.1800451,2300805.0,69.5,-5.778,121.915,3.736,-6.088,12.106,-0.946,-0.034,0.382,100.762,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.1852958,2300810.0,69.47,-5.623,122.058,4.433,-5.867,11.712,-0.944,-0.034,0.383,100.762,-52.152,54.852,0.0,-0.1,0.0,0.0
1790064470.190144,2300815.0,69.44,-5.471,122.193,5.126,-5.665,11.335,-0.943,-0.035,0.383,100.761,-52.152,54.852,0.0,0.1,0.0,0.0
1790064470.195703,2300821.0,69.411,-5.321,122.322,5.823,-5.443,10.952,-0.942,-0.034,0.383,100.761,-52.152,54.852,-0.1,-0.2,0.0,0.0
1790064470.2006688,2300826.0,69.383,-5.175,122.444,6.505,-5.156,10.562,-0.94,-0.034,0.384,100.761,-52.152,54.852,0.0,0.1,0.0,0.0
1790064470.205803,2300831.0,69.356,-5.031,122.559,7.153,-4.859,10.15,-0.939,-0.033,0.384,100.761,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.2118661,2300837.0,69.305,-4.755,122.77,8.356,-4.284,9.317,-0.936,-0.032,0.385,100.761,-52.152,54.852,-0.1,0.0,0.0,0.0
1790064470.2173162,2300842.0,69.282,-4.622,122.864,8.953,-3.964,8.866,-0.935,-0.031,0.385,100.761,-52.152,54.852,-0.1,0.0,0.0,0.0
1790064470.223121,2300848.0,69.259,-4.493,122.951,9.529,-3.655,8.403,-0.934,-0.03,0.385,100.761,-52.152,54.852,-0.1,0.1,0.0,0.0
1790064470.22962,2300854.0,69.238,-4.369,123.031,10.055,-3.364,7.938,-0.933,-0.029,0.385,100.761,-52.152,54.852,0.0,-0.2,0.0,0.0
1790064470.235348,2300860.0,69.218,-4.249,123.104,10.581,-3.037,7.445,-0.932,-0.028,0.385,100.761,-52.152,54.852,0.2,-0.1,0.0,0.0
1790064470.240725,2300866.0,69.2,-4.133,123.168,11.101,-2.683,6.913,-0.931,-0.027,0.385,100.761,-52.152,54.852,0.0,0.0,0.0,0.0
1790064470.245713,2300871.0,69.183,-4.023,123.225,11.583,-2.325,6.382,-0.93,-0.026,0.385,100.761,-52.152,54.852,0.0,0.0,0.0,0.0
